nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
349,18,7,37592,1404926,48.09564971923828,11.531177520751953,552.0,0.07199999690055847,-0.05900000035762787,276.75335693359375,220722,9,3,1,-0.967529296875,-0.1015625,-0.11376953125,0.9794750809669495,-0.7175572514533997,0.12977099418640137,-1.1145038604736328,0,95685.0,438.91778564453125,20.280000686645508,1,0,3772,1,cd0b0000ff0d0500be5815002f000000,1,0xD215
350,18,8,37696,1435026,48.09568786621094,11.531155586242676,561.0,0.08900000154972076,-0.1289999932050705,302.23358154296875,220752,10,3,1,-0.974609375,-0.10302734375,-0.11767578125,0.987079381942749,-0.6793892979621887,0.42748090624809265,-0.9847328066825867,1,95690.0,438.4818115234375,20.280000686645508,1,0,3769,1,cf0b0000ff0c050063e1150031000000,1,0x9A86
351,18,9,37800,1465126,48.09564971923828,11.531144142150879,557.0,0.2290000021457672,0.09799999743700027,204.18063354492188,220823,9,3,1,-0.977294921875,-0.1005859375,-0.1103515625,0.9886355996131897,-0.8167939186096191,0.17557251453399658,-1.198473334312439,1,95687.0,438.7433776855469,20.31999969482422,1,0,3766,1,d00b0000ff080301bf25160032000000,0,0xB40A
352,18,10,37904,1495226,48.095645904541016,11.531124114990234,556.0,0.04600000008940697,0.04899999871850014,152.26768493652344,220853,9,3,1,-0.974609375,-0.10302734375,-0.114013671875,0.9866494536399841,-0.8702290058135986,0.2442748099565506,-1.2061069011688232,1,95689.0,438.5690002441406,20.280000686645508,1,0,3776,1,d20b0000ff13070077ae160034000000,1,0x7DFC
353,18,11,38008,1525326,48.095645904541016,11.53111743927002,554.0,0.05700000002980232,-0.023000000044703484,147.6920623779297,220923,10,3,1,-0.974365234375,-0.095458984375,-0.1044921875,0.9845905900001526,-0.6793892979621887,0.37404578924179077,-1.229007601737976,1,95690.0,438.4818115234375,20.139999389648438,1,0,3763,1,d40b0000ff0502003b37170036000000,1,0x3879
354,18,12,38112,1555334,48.095638275146484,11.53111457824707,558.0,0.07800000160932541,-0.07500000298023224,184.58714294433594,220953,10,3,1,-0.97802734375,-0.10009765625,-0.112060546875,0.9895021915435791,-0.6335877776145935,0.21374045312404633,-1.2595419883728027,1,95687.0,438.7433776855469,20.15999984741211,1,0,3760,1,d50b0000ff120701a27b170037000000,0,0xEDD7
355,18,13,38216,1585434,48.095619201660156,11.531105041503906,555.0,0.16599999368190765,-0.06199999898672104,282.6628112792969,221023,10,3,1,-0.97216796875,-0.099853515625,-0.115234375,0.9840529561042786,-0.7099236845970154,0.4656488597393036,-1.0534350872039795,0,95689.0,438.5690002441406,20.15999984741211,1,0,3769,1,d70b0000ff0e05017504180039000000,0,0xA620
356,18,14,38320,1615534,48.095619201660156,11.53111457824707,556.0,0.04899999871850014,0.04600000008940697,357.92279052734375,221053,11,3,1,-0.972412109375,-0.103759765625,-0.117919921875,0.9850159883499146,-0.7022900581359863,0.290076345205307,-1.1755725145339966,1,95686.0,438.8305969238281,19.969999313354492,1,0,3772,1,d90b0000ff0a0400478d18003b000000,1,0x5EE2
357,18,15,38424,1645634,48.09563064575195,11.531110763549805,554.0,0.006000000052154064,-0.04699999839067459,235.88690185546875,221123,9,3,1,-0.980224609375,-0.100341796875,-0.099853515625,0.9903935790061951,-0.5648854970932007,0.1679389327764511,-1.0839694738388062,1,95690.0,438.4818115234375,19.959999084472656,1,0,3779,1,db0b0000ff030100301619003d000000,1,0xF77C
358,18,16,38528,1675643,48.09565734863281,11.531121253967285,561.0,0.06400000303983688,0.032999999821186066,330.9673156738281,221153,11,3,1,-0.9775390625,-0.102783203125,-0.112060546875,0.9892950057983398,-0.7480915784835815,0.221374049782753,-1.0534350872039795,1,95690.0,438.4818115234375,19.93000030517578,1,0,3769,1,dc0b0000ff090301835a19003e000000,0,0x1F5D
