elapsed_min,vertical_up_mps,ground_speed_mps,accel_mag_g,accel_mag_max_g
15.45833,6.26,4.37,1.0235,1.16
15.54167,6.45,8.49,0.9685,1.359
15.625,5.97,4.9,1.052,1.271
15.70833,6.5,6.03,0.9735,1.095
15.79167,5.49,7.67,1.0945,1.429
15.875,5.7,4.67,0.993,1.153
15.95833,5.76,8.72,1.005,1.2
16.04167,5.1,5.11,1.06,1.284
16.125,5.26,10.16,1.056,1.411
16.20833,6.06,7.3,1.025,1.223
16.29167,6.26,6.42,1.056,1.283
16.375,6.3,10.99,1.019,1.319
16.45833,6,5.62,1.0325,1.234
16.54167,5.95,8.62,1.0215,1.263
16.625,6.47,6.13,1.033,1.228
16.70833,7.14,11.29,1.029,1.257
16.79167,6.36,9.22,1.123,1.307
16.875,6.08,7.02,1.0165,1.468
16.95833,7.24,9.52,1.02,1.174
17.04167,6.2,7.95,1.061,1.162
17.125,5.83,10.33,1.0365,1.197
17.20833,5.14,8.13,0.9525,1.265
17.29167,5.66,9.86,1.068,1.38
17.375,5.27,10.67,1.005,1.158
17.45833,5.51,6.53,1.061,1.231
17.54167,5.67,9.37,1.012,1.137
17.625,5.8,5.19,1.0365,1.177
17.70833,5.04,9.12,1.025,1.19
17.79167,6.12,10.62,1.011,1.289
17.875,5,6.63,1.044,1.181
17.95833,4.84,11.15,1.049,1.23
18.04167,4.96,9.53,1.017,1.197
18.125,6.53,10.69,1.028,1.166
18.20833,6.7,8.99,1.038,1.194
18.29167,5.12,10.41,1.0045,1.118
18.375,5.22,8.48,1.0445,1.114
18.45833,6.5,8.48,1.0515,1.206
18.54167,6.38,12.74,0.9985,1.178
18.625,6.26,6.83,1.023,1.257
18.70833,5.86,12.98,1.051,1.46
18.79167,7.01,10.64,0.935,1.319
18.875,5.09,14.66,1.066,1.253
18.95833,6.46,11.05,1.0065,1.121
19.04167,5.18,13.32,1.057,1.204
19.125,5.91,8.79,0.9705,1.171
19.20833,6.38,9.05,1.0085,1.147
19.29167,6.07,13.57,1.009,1.16
19.375,6.22,11.09,1.067,1.185
19.45833,4.78,12.67,1.052,1.312
19.54167,5.58,8.35,0.977,1.396
19.625,5.66,8.97,0.964,1.287
19.70833,5.08,13.26,1.039,1.224
19.79167,5.18,9.13,1.021,1.116
19.875,5.4,13.34,1.042,1.234
19.95833,5.68,10.74,1,1.32
20.04167,6.17,9.85,1.009,1.171
20.125,5.72,11.98,1.0135,1.398
20.20833,5.57,9.94,1.0445,1.286
20.29167,5.54,13.72,0.9875,1.084
20.375,5.06,9.52,1.038,1.18
20.45833,6.07,9.48,1.063,1.349
20.54167,4.45,13.38,0.953,1.221
20.625,4.82,12.57,0.983,1.178
20.70833,5.43,10.19,1.096,1.281
20.79167,5.03,8.18,0.9445,1.452
20.875,5.26,11.06,1.033,1.262
20.95833,4.93,9.8,1.0375,1.23
21.04167,4.44,13.51,1.005,1.195
21.125,5.86,10.45,1,1.224
21.20833,5.71,12.47,1.065,1.275
21.29167,4.64,12.16,1.0045,1.33
21.375,5.15,10.38,1.084,1.284
21.45833,5.75,14.05,1.022,1.193
21.54167,6.6,13.33,0.969,1.262
21.625,5.54,10.47,1.005,1.241
21.70833,5.39,9.77,1.0975,1.434
21.79167,6.59,12.35,0.9985,1.41
21.875,5.29,8.31,1.064,1.395
21.95833,6.12,8.21,1.024,1.197
22.04167,4.92,9.11,1.045,1.365
22.125,6.15,9.86,1.084,1.38
22.20833,5.44,10.87,0.96,1.218
22.29167,5.25,12.33,1.095,1.395
22.375,5.3,15.21,1.045,1.35
22.45833,6.41,11.05,1.0045,1.13
22.54167,6.55,10.68,1.011,1.109
22.625,6.35,14.87,1.018,1.184
22.70833,5.71,8.75,1.055,1.214
22.79167,6.87,14.32,0.966,1.283
22.875,6.13,9.08,0.9935,1.197
22.95833,6.3,13.74,1.0435,1.182
23.04167,6.81,13.7,0.995,1.221
23.125,6.01,11.11,1.054,1.18
23.20833,6.09,13.86,1.015,1.178
23.29167,6.17,10.36,0.945,1.224
23.375,6.38,14.77,1.033,1.228
23.45833,6.23,10.5,1.007,1.255
23.54167,5.6,14.08,1.0215,1.161
23.625,6.21,9.2,0.993,1.101
23.70833,6.37,12.97,1.0625,1.257
23.79167,8.28,11.01,1.0565,1.366
23.875,6.77,12.95,0.996,1.17
23.95833,7.69,9.86,1.005,1.116
24.04167,6.19,13.84,1.043,1.186
24.125,7.03,11.72,1.0395,1.142
24.20833,6.26,14.96,0.9925,1.124
24.29167,6.6,10.46,1.035,1.187
24.375,7.03,15.34,1.025,1.2
24.45833,6.32,12.63,0.9785,1.078
24.54167,6.75,13.65,1.002,1.17
24.625,6.24,11.59,1.0435,1.157
24.70833,6.54,14.21,1.0235,1.132
24.79167,6.52,13.04,1.0185,1.115
24.875,6.76,15.05,1.0345,1.2
24.95833,7.49,16.84,0.9645,1.257
25.04167,6.3,11.43,1.058,1.283
25.125,6.33,15.29,1.021,1.195
25.20833,6.7,10.81,1.002,1.144
25.29167,6.54,15.55,1.0345,1.252
25.375,7.33,13.77,1.029,1.152
25.45833,6.28,12.29,1.038,1.49
25.54167,6.22,14.28,0.9905,1.187
25.625,6.5,12.31,1.031,1.141
25.70833,5.61,17.75,1.036,1.14
25.79167,6.54,12.21,1.0165,1.126
25.875,6.82,16.36,1.0385,1.218
25.95833,6.99,15.28,1.08,1.237
26.04167,6.41,16.32,0.9925,1.155
26.125,6.52,13.79,1.034,1.224
26.20833,6.87,14.26,1.0015,1.346
26.29167,6.87,15.28,1.006,1.154
26.375,5.06,15.93,1.014,1.149
26.45833,5.87,13.12,0.9885,1.199
26.54167,7.74,15.72,1.034,1.18
26.625,5.65,13.85,1.002,1.161
26.70833,5.99,17.99,1.009,1.143
26.79167,6.62,13.91,1.001,1.079
26.875,6.86,18.12,1.0375,1.184
26.95833,6.12,10.69,1.023,1.124
27.04167,6.88,16.33,1.011,1.145
27.125,5.32,12.48,1.024,1.164
27.20833,6.24,16.87,1.005,1.28
27.29167,5.54,11.21,0.963,1.122
27.375,5.76,11.65,0.9505,1.128
27.45833,7.41,11.68,1.014,1.102
27.54167,6.5,16.04,1.0135,1.185
27.625,5.42,11.61,1.0235,1.168
27.70833,6.15,17.04,0.97,1.202
27.79167,6.27,11.3,1.049,1.213
27.875,6.99,17.54,1.0085,1.134
27.95833,5.85,12.53,1.027,1.189
28.04167,6.21,18.57,1.0265,1.159
28.125,6.07,14.03,0.994,1.17
28.20833,6.54,18.4,1.054,1.218
28.29167,5.92,11.95,0.9975,1.143
28.375,7.14,16.35,1.023,1.182
28.45833,7.09,19.23,1.047,1.208
28.54167,7.63,16.24,1.045,1.24
28.625,7.8,18.6,1.031,1.412
28.70833,6.1,13.89,1.031,1.268
28.79167,5.95,18.42,0.983,1.262
28.875,6.16,15.88,0.962,1.188
28.95833,5.54,13.7,1.017,1.137
29.04167,5.87,17.3,1.026,1.208
29.125,5.38,20.17,1.0095,1.134
29.20833,6.82,15.9,0.9845,1.233
29.29167,5.79,20.21,1.005,1.102
29.375,5.87,19.19,1.04,1.235
29.45833,6.38,17.12,0.939,1.097
29.54167,6.77,18.39,1.0355,1.191
29.625,4.9,13.59,1.002,1.133
29.70833,5.57,18.51,0.987,1.11
29.79167,6.33,18.18,1.0195,1.189
