elapsed_min,gps_alt_km,baro_alt_km,phase
27.04167,6.399,5.53956,2
27.125,6.427,5.5706,2
27.20833,6.457,5.59613,2
27.29167,6.486,5.62268,2
27.375,6.511,5.65009,2
27.45833,6.54,5.67664,2
27.54167,6.572,5.70752,2
27.625,6.598,5.73424,2
27.70833,6.625,5.76089,2
27.79167,6.655,5.79207,2
27.875,6.691,5.82256,2
27.95833,6.726,5.85331,2
28.04167,6.756,5.88353,2
28.125,6.784,5.90933,2
28.20833,6.816,5.93828,2
28.29167,6.848,5.96879,2
28.375,6.882,5.99956,2
28.45833,6.917,6.03061,2
28.54167,6.951,6.06193,2
28.625,6.985,6.10012,2
28.70833,7.014,6.12639,2
28.79167,7.046,6.15456,2
28.875,7.074,6.18349,2
28.95833,7.101,6.20834,2
29.04167,7.13,6.23527,2
29.125,7.157,6.26069,2
29.20833,7.187,6.28752,2
29.29167,7.217,6.3152,2
29.375,7.24,6.34246,2
29.45833,7.27,6.37235,2
29.54167,7.294,6.39799,2
29.625,7.328,6.42799,2
29.70833,7.355,6.4525,2
29.79167,7.386,6.48088,2
29.875,7.414,6.50848,2
29.95833,7.446,6.53964,2
30.04167,7.472,6.56516,2
30.125,7.501,6.59077,2
30.20833,7.536,6.62012,2
30.29167,7.561,6.64904,2
30.375,7.594,6.68458,2
30.45833,7.623,6.71142,2
30.54167,7.653,6.74136,2
30.625,7.679,6.76428,2
30.70833,7.71,6.79172,2
30.79167,7.742,6.81943,2
30.875,7.778,6.8492,2
30.95833,7.815,6.88178,2
31.04167,7.854,6.91756,2
31.125,7.885,6.9465,2
31.20833,7.925,6.98136,2
31.29167,7.953,7.00821,2
31.375,7.976,7.03644,2
31.45833,8.007,7.06936,2
31.54167,8.031,7.09446,2
31.625,8.061,7.12594,2
31.70833,8.089,7.15251,2
31.79167,8.119,7.18102,2
31.875,8.153,7.2115,2
31.95833,8.188,7.24548,2
32.04167,8.223,7.27336,2
32.125,8.255,7.30682,2
32.20833,8.285,7.33624,2
32.29167,8.32,7.36861,2
32.375,8.35,7.39709,2
32.45833,8.378,7.42758,2
32.54167,8.418,7.46107,2
32.625,8.448,7.49257,2
32.70833,8.478,7.52302,2
32.79167,8.509,7.54909,2
32.875,8.544,7.58209,2
32.95833,8.573,7.61128,2
33.04167,8.604,7.64255,2
33.125,8.637,7.67295,2
33.20833,8.67,7.71139,2
33.29167,8.709,7.74563,2
33.375,8.737,7.77839,2
33.45833,8.77,7.81069,2
33.54167,8.802,7.83827,2
33.625,8.835,7.86856,2
33.70833,8.875,7.90669,2
33.79167,8.902,7.92969,2
33.875,8.941,7.9687,2
33.95833,8.971,7.99557,2
34.04167,9.004,8.02891,2
34.125,9.035,8.05907,2
34.20833,9.067,8.09204,2
34.29167,9.094,8.12202,2
34.375,9.132,8.15691,2
34.45833,9.171,8.18943,2
34.54167,9.202,8.22397,2
34.625,9.233,8.25294,2
34.70833,9.26,8.2767,2
34.79167,9.291,8.30457,2
34.875,9.324,8.33831,2
34.95833,9.356,8.36649,2
35.04167,9.39,8.39585,2
35.125,9.414,8.42672,2
35.20833,9.445,8.45488,2
35.29167,9.477,8.48597,2
35.375,9.508,8.51433,2
35.45833,9.54,8.5474,2
35.54167,9.574,8.57994,2
35.625,9.611,8.61128,2
35.70833,9.638,8.63763,2
35.79167,9.664,8.6614,2
35.875,9.701,8.69797,2
35.95833,9.73,8.72729,2
36.04167,9.756,8.75199,2
36.125,9.78,8.7779,2
36.20833,9.808,8.80343,2
36.29167,9.845,8.842,2
36.375,9.881,8.87732,2
36.45833,9.908,8.8995,2
