elapsed_min,sequence,cloud_fraction_percent,status,valid
29.66667,534,9.7642,0,1
29.95,535,5.4673,0,1
30.23333,536,22.6551,0,1
30.52271,537,9.7642,0,1
30.80389,538,63.2807,0,1
31.0934,539,1.9516,0,1
31.37931,540,4.686,0,1
31.66415,541,3.9048,0,1
31.95,542,10.1549,0,1
32.23142,543,11.7174,0,1
32.51667,544,31.6396,0,1
32.80481,545,35.1553,0,1
33.08973,546,17.5769,0,1
33.37655,547,26.952,0,1
33.66274,548,16.405,0,1
33.94666,549,12.4987,0,1
34.23333,550,14.4518,0,1
34.52131,551,6.2486,0,1
34.80412,552,23.827,0,1
35.09447,553,49.9992,0,1
35.3808,554,51.9524,0,1
35.66323,555,30.0771,0,1
35.95,556,61.3275,0,1
36.24033,557,12.4987,0,1
36.52554,558,30.0771,0,1
36.81667,559,51.9524,0,1
37.1,560,40.6241,0,1
37.38333,561,51.9524,0,1
37.6741,562,28.5145,0,1
38.00833,562,28.5145,1,0
38.15,563,49.9992,0,1
38.42958,564,21.0925,0,1
38.71667,565,14.4518,0,1
39.00707,566,66.7964,0,1
39.2927,567,16.405,0,1
39.57521,568,31.6396,0,1
39.88333,569,0.7797,0,1
40.16667,570,44.1398,0,1
40.45,571,22.6551,0,1
40.73333,572,23.827,0,1
41.01175,573,5.0767,0,1
41.29457,574,46.0929,0,1
41.57967,575,55.8587,0,1
41.86352,576,19.9207,0,1
42.14616,577,14.4518,0,1
42.42854,578,35.1553,0,1
42.71167,579,10.9361,0,1
42.99688,580,8.983,0,1
43.28333,581,33.2021,0,1
43.56371,582,18.7488,0,1
43.84696,583,26.952,0,1
44.13009,584,64.8432,0,1
44.41667,585,22.6551,0,1
44.7,586,6.2486,0,1
44.98812,587,38.6709,0,1
45.27167,588,17.5769,0,1
45.55583,589,4.2954,0,1
45.83571,590,33.2021,0,1
46.12222,591,21.0925,0,1
46.41066,592,35.1553,0,1
46.6945,593,28.5145,0,1
46.97553,594,26.952,0,1
47.26421,595,25.3895,0,1
47.54785,596,49.9992,0,1
47.83333,597,5.8579,0,1
48.11667,598,6.2486,0,1
48.40541,599,40.6241,0,1
48.6899,600,4.2954,0,1
48.97517,601,33.2021,0,1
49.25558,602,14.4518,0,1
49.55,603,35.1553,0,1
49.82823,604,1.561,0,1
50.11036,605,23.827,0,1
50.4,606,7.4205,0,1
50.68333,607,3.9048,0,1
50.96934,608,3.9048,0,1
51.25648,609,2.3423,0,1
51.54652,610,0.7797,0,1
51.82964,611,1.1704,0,1
52.11453,612,4.2954,0,1
52.39671,613,1.561,0,1
52.68333,614,28.5145,0,1
52.97053,615,4.686,0,1
53.2574,616,11.7174,0,1
53.55,617,1.9516,0,1
53.83333,618,55.8587,0,1
54.11667,619,13.6706,0,1
54.40228,620,18.7488,0,1
54.69296,620,18.7488,1,1
54.97893,622,11.7174,0,1
55.26667,623,35.1553,0,1
55.55,624,1.1704,0,1
55.84011,625,30.0771,0,1
56.175,625,30.0771,1,0
56.36427,626,28.5145,0,1
56.65,627,17.5769,0,1
56.93333,628,7.8111,0,1
57.21868,629,11.7174,0,1
57.50421,630,1.9516,0,1
57.78867,631,1.561,0,1
58.08055,632,3.9048,0,1
58.37907,633,6.2486,0,1
58.66667,634,0.3891,0,1
58.95,635,1.1704,0,1
59.23333,636,0,0,1
59.51262,637,0.7797,0,1
59.8,638,53.9055,0,1
60.08333,639,10.9361,0,1
60.36667,640,31.6396,0,1
60.65,641,3.9048,0,1
60.93333,642,10.9361,0,1
61.21667,643,4.686,0,1
61.5,644,1.1704,0,1
61.78333,645,0.3891,0,1
62.06667,646,0,0,1
62.35,647,22.6551,0,1
62.63731,648,1.1704,0,1
62.92235,649,16.405,0,1
63.2061,649,16.405,1,1
63.48699,651,1.561,0,1
63.7737,652,17.5769,0,1
64.05486,653,1.561,0,1
64.34222,654,1.1704,0,1
64.62774,655,13.6706,0,1
64.90842,656,0,0,1
65.19357,657,0.3891,0,1
65.48333,658,26.952,0,1
65.76288,659,16.405,0,1
66.04634,660,8.2017,0,1
66.34011,661,0,0,1
66.62195,662,31.6396,0,1
66.90746,663,3.9048,0,1
67.18832,664,2.3423,0,1
67.47336,665,1.561,0,1
67.76363,666,0,0,1
68.043,667,25.3895,0,1
68.32617,668,74.609,0,1
68.61667,669,1.9516,0,1
68.90565,670,8.983,0,1
69.19063,671,42.1866,0,1
69.47436,672,0.3891,0,1
69.7598,673,8.2017,0,1
70.04645,674,1.9516,0,1
70.32831,675,11.7174,0,1
70.61667,676,76.1715,0,1
70.90511,677,0.3891,0,1
71.18845,678,3.9048,0,1
71.47387,679,0.3891,0,1
71.76431,680,8.983,0,1
72.05,681,0.3891,0,1
72.33333,682,51.9524,0,1
72.61851,683,17.5769,0,1
72.90515,684,2.7329,0,1
73.1929,685,5.4673,0,1
73.47938,686,0.3891,0,1
73.76667,687,1.561,0,1
74.05742,688,7.8111,0,1
74.39167,688,7.8111,1,0
74.53077,689,5.8579,0,1
74.80888,690,18.7488,0,1
75.1,691,22.6551,0,1
75.38521,692,31.6396,0,1
75.67571,693,16.405,0,1
75.96166,694,15.6237,0,1
76.24445,695,12.4987,0,1
76.52743,696,12.4987,0,1
76.83333,697,44.1398,0,1
77.11667,698,21.0925,0,1
77.4,699,12.4987,0,1
77.68333,700,8.983,0,1
77.96667,701,38.6709,0,1
78.25,702,10.1549,0,1
78.53333,703,7.8111,0,1
78.81667,704,9.7642,0,1
79.1,705,3.1235,0,1
79.38333,706,21.0925,0,1
79.66667,707,38.6709,0,1
79.95281,708,14.4518,0,1
80.23829,709,31.6396,0,1
80.5202,710,14.4518,0,1
80.80699,711,33.2021,0,1
81.09133,712,7.8111,0,1
81.37188,713,10.1549,0,1
81.65532,714,3.5142,0,1
81.94197,715,3.9048,0,1
82.22343,716,15.6237,0,1
82.50882,717,8.2017,0,1
82.79726,718,9.7642,0,1
83.0807,719,18.7488,0,1
83.36236,720,1.1704,0,1
83.65,721,49.9992,0,1
83.92746,722,2.7329,0,1
84.21667,723,28.5145,0,1
84.50185,724,38.6709,0,1
84.79175,725,16.405,0,1
85.07592,726,12.4987,0,1
85.36206,727,8.2017,0,1
85.64364,728,2.7329,0,1
85.93067,729,21.0925,0,1
86.21435,729,21.0925,1,1
86.5,731,19.9207,0,1
86.78333,732,8.983,0,1
87.06907,733,9.7642,0,1
87.35996,734,8.983,0,1
87.64331,735,1.9516,0,1
87.93061,736,19.9207,0,1
88.21667,737,5.0767,0,1
88.5,738,21.0925,0,1
88.78333,739,10.9361,0,1
89.07056,740,8.2017,0,1
89.35708,741,6.6392,0,1
89.64415,742,12.4987,0,1
89.92809,743,19.9207,0,1
90.21667,744,8.983,0,1
90.50258,745,6.6392,0,1
90.79137,746,23.827,0,1
91.07543,747,14.4518,0,1
91.36045,748,8.983,0,1
91.65,749,6.6392,0,1
91.93855,750,22.6551,0,1
92.2247,751,26.952,0,1
92.56187,751,26.952,1,0
92.7,752,5.4673,0,1
92.9795,753,15.6237,0,1
93.26864,754,1.561,0,1
93.55881,755,22.6551,0,1
93.84394,756,51.9524,0,1
94.12899,757,33.2021,0,1
94.41218,758,18.7488,0,1
94.7,759,11.7174,0,1
94.98904,760,16.405,0,1
95.29403,761,7.8111,0,1
95.58092,762,53.9055,0,1
95.85946,763,7.4205,0,1
96.14336,764,2.7329,0,1
96.42683,765,30.0771,0,1
96.70569,766,3.9048,0,1
96.99419,767,3.9048,0,1
97.27257,768,5.8579,0,1
97.55676,769,18.7488,0,1
97.83937,770,38.6709,0,1
98.12258,771,14.4518,0,1
98.40986,772,5.4673,0,1
98.69081,773,15.6237,0,1
98.9753,774,14.4518,0,1
99.25927,775,8.983,0,1
99.54403,776,30.0771,0,1
99.83333,777,22.6551,0,1
100.11135,778,7.8111,0,1
100.4,779,10.9361,0,1
100.67979,780,15.6237,0,1
100.96667,781,17.5769,0,1
101.25,782,2.3423,0,1
101.53826,783,12.4987,0,1
101.82325,784,6.6392,0,1
102.1087,785,26.952,0,1
102.39466,786,9.7642,0,1
102.67363,787,13.6706,0,1
102.96349,788,3.5142,0,1
103.24347,789,14.4518,0,1
103.52852,790,49.9992,0,1
103.81667,791,53.9055,0,1
104.1,792,9.7642,0,1
104.38512,793,22.6551,0,1
104.67415,794,15.6237,0,1
104.95245,795,8.2017,0,1
105.24184,796,0.3891,0,1
105.53038,797,18.7488,0,1
105.81174,798,5.0767,0,1
106.1,799,1.9516,0,1
106.38503,800,0,0,1
106.67308,801,2.3423,0,1
106.95588,802,0.3891,0,1
107.24235,803,1.9516,0,1
107.53131,804,1.9516,0,1
107.81667,805,9.7642,0,1
108.10435,806,10.1549,0,1
108.39136,807,3.5142,0,1
108.67375,808,6.6392,0,1
