elapsed_min,latitude_deg,longitude_deg,altitude_km,map_x,map_y
156.08333,47.8796704,11.6921656,0.692,1090.515431,-712.9361644
156.25,47.8796704,11.6921656,0.692,1090.515431,-712.9361644
156.41667,47.8796736,11.6921672,0.692,1090.5154401,-712.9361372
156.58333,47.8796768,11.6921672,0.691,1090.5154401,-712.9361101
156.75,47.8796736,11.6921688,0.693,1090.5154492,-712.9361372
156.91667,47.8796704,11.6921712,0.694,1090.5154628,-712.9361644
157.08333,47.8796736,11.6921712,0.693,1090.5154628,-712.9361372
157.25,47.8796704,11.692168,0.692,1090.5154446,-712.9361644
157.41667,47.879664,11.6921656,0.691,1090.515431,-712.9362186
157.58333,47.879664,11.692168,0.692,1090.5154446,-712.9362186
157.75,47.8796576,11.692168,0.691,1090.5154446,-712.9362729
157.91667,47.8796576,11.6921664,0.691,1090.5154355,-712.9362729
158.08333,47.8796576,11.6921656,0.691,1090.515431,-712.9362729
158.25,47.8796576,11.6921656,0.691,1090.515431,-712.9362729
158.41667,47.8796576,11.6921664,0.691,1090.5154355,-712.9362729
158.58333,47.8796576,11.6921664,0.691,1090.5154355,-712.9362729
158.75,47.8796576,11.6921656,0.691,1090.515431,-712.9362729
158.91667,47.8796608,11.692168,0.691,1090.5154446,-712.9362458
159.08333,47.879664,11.6921704,0.691,1090.5154583,-712.9362186
159.25,47.879664,11.6921712,0.691,1090.5154628,-712.9362186
159.41667,47.8796608,11.6921712,0.69,1090.5154628,-712.9362458
159.58333,47.8796576,11.692172,0.69,1090.5154674,-712.9362729
159.75,47.8796576,11.692172,0.69,1090.5154674,-712.9362729
159.91667,47.8796576,11.6921712,0.691,1090.5154628,-712.9362729
160.08333,47.8796608,11.692168,0.691,1090.5154446,-712.9362458
160.25,47.879664,11.6921656,0.691,1090.515431,-712.9362186
160.41667,47.8796576,11.6921648,0.691,1090.5154264,-712.9362729
160.58333,47.8796608,11.6921672,0.691,1090.5154401,-712.9362458
160.75,47.8796608,11.692168,0.691,1090.5154446,-712.9362458
160.91667,47.8796576,11.6921688,0.69,1090.5154492,-712.9362729
161.08333,47.8796544,11.692168,0.69,1090.5154446,-712.9363001
161.25,47.8796544,11.6921672,0.69,1090.5154401,-712.9363001
161.41667,47.8796288,11.6921824,0.691,1090.5155265,-712.9365172
161.58333,47.8795136,11.69218,0.691,1090.5155129,-712.9374944
161.75,47.8794944,11.692192,0.692,1090.5155812,-712.9376572
161.91667,47.8794944,11.6922008,0.693,1090.5156312,-712.9376572
162.08333,47.8794848,11.6922008,0.692,1090.5156312,-712.9377386
162.25,47.8794816,11.6922032,0.692,1090.5156449,-712.9377658
162.41667,47.8794784,11.6922096,0.693,1090.5156813,-712.9377929
162.58333,47.8794784,11.6922064,0.693,1090.5156631,-712.9377929
162.75,47.8794816,11.6922144,0.695,1090.5157086,-712.9377658
162.91667,47.8794912,11.69222,0.696,1090.5157404,-712.9376844
163.08333,47.8794944,11.6922032,0.695,1090.5156449,-712.9376572
163.25,47.8794944,11.6921928,0.695,1090.5155857,-712.9376572
163.41667,47.8794976,11.6922048,0.696,1090.515654,-712.9376301
163.58333,47.8794944,11.6922104,0.695,1090.5156858,-712.9376572
163.75,47.8794976,11.6922144,0.694,1090.5157086,-712.9376301
163.91667,47.8794976,11.6922184,0.695,1090.5157313,-712.9376301
164.08333,47.8794976,11.6922216,0.695,1090.5157495,-712.9376301
164.25,47.8795008,11.6922272,0.695,1090.5157814,-712.9376029
164.41667,47.8794976,11.6922168,0.694,1090.5157222,-712.9376301
164.58333,47.8794976,11.6922144,0.693,1090.5157086,-712.9376301
164.75,47.8795104,11.6922024,0.693,1090.5156403,-712.9375215
164.91667,47.8795264,11.6921656,0.694,1090.515431,-712.9373858
165.08333,47.8795008,11.692216,0.692,1090.5157177,-712.9376029
165.25,47.879504,11.6922,0.694,1090.5156267,-712.9375758
165.41667,47.8795072,11.6921952,0.695,1090.5155994,-712.9375486
165.58333,47.8795008,11.6922064,0.695,1090.5156631,-712.9376029
165.75,47.8794944,11.692208,0.695,1090.5156722,-712.9376572
165.91667,47.8794912,11.6922104,0.695,1090.5156858,-712.9376844
166.08333,47.8794912,11.692212,0.6955,1090.5156949,-712.9376844
166.25,47.8794848,11.6922152,0.695,1090.5157131,-712.9377386
166.41667,47.8794816,11.69222,0.695,1090.5157404,-712.9377658
166.58333,47.8794848,11.6922216,0.695,1090.5157495,-712.9377386
166.75,47.8794848,11.6922216,0.694,1090.5157495,-712.9377386
166.91667,47.8794816,11.6922124,0.693,1090.5156972,-712.9377658
167.08333,47.8794816,11.6922248,0.693,1090.5157678,-712.9377658
167.25,47.8794912,11.6922168,0.693,1090.5157222,-712.9376844
167.41667,47.8794816,11.6922064,0.692,1090.5156631,-712.9377658
167.58333,47.8794784,11.692196,0.692,1090.5156039,-712.9377929
167.75,47.8794656,11.6921976,0.692,1090.515613,-712.9379015
167.91667,47.8794656,11.6922016,0.692,1090.5156358,-712.9379015
168.08333,47.8794656,11.6922112,0.693,1090.5156904,-712.9379015
168.25,47.879472,11.6922184,0.694,1090.5157313,-712.9378472
168.41667,47.879472,11.6922232,0.695,1090.5157586,-712.9378472
168.58333,47.879472,11.6922216,0.695,1090.5157495,-712.9378472
168.75,47.8794656,11.6922176,0.695,1090.5157268,-712.9379015
168.91667,47.879472,11.6922024,0.694,1090.5156403,-712.9378472
169.08333,47.879472,11.6921952,0.693,1090.5155994,-712.9378472
169.25,47.8794752,11.6922,0.694,1090.5156267,-712.9378201
169.41667,47.8794784,11.6922072,0.695,1090.5156676,-712.9377929
169.58333,47.8794784,11.6922024,0.695,1090.5156403,-712.9377929
169.75,47.8794848,11.6922,0.697,1090.5156267,-712.9377386
169.91667,47.8794912,11.6922024,0.696,1090.5156403,-712.9376844
170.08333,47.8794848,11.6922056,0.695,1090.5156585,-712.9377386
170.25,47.8794832,11.692214,0.695,1090.5157063,-712.9377522
170.41667,47.8794816,11.6922248,0.696,1090.5157678,-712.9377658
170.58333,47.8794848,11.6922296,0.695,1090.5157951,-712.9377386
170.75,47.8794848,11.6922224,0.695,1090.5157541,-712.9377386
170.91667,47.8794848,11.6922104,0.694,1090.5156858,-712.9377386
171.08333,47.8794912,11.6922032,0.694,1090.5156449,-712.9376844
171.25,47.8794912,11.6922028,0.693,1090.5156426,-712.9376844
171.41667,47.8794912,11.6922064,0.694,1090.5156631,-712.9376844
171.58333,47.8794848,11.6922016,0.693,1090.5156358,-712.9377386
171.75,47.8794816,11.692208,0.694,1090.5156722,-712.9377658
171.91667,47.8794816,11.6922116,0.694,1090.5156927,-712.9377658
172.08333,47.8794816,11.6922144,0.694,1090.5157086,-712.9377658
172.25,47.8794816,11.6922084,0.694,1090.5156745,-712.9377658
172.41667,47.8794816,11.6922044,0.694,1090.5156517,-712.9377658
172.58333,47.8794816,11.6922096,0.694,1090.5156813,-712.9377658
172.75,47.8794816,11.6922064,0.694,1090.5156631,-712.9377658
172.91667,47.8794848,11.6922016,0.695,1090.5156358,-712.9377386
173.08333,47.8794816,11.6922056,0.695,1090.5156585,-712.9377658
173.25,47.8794816,11.6922032,0.696,1090.5156449,-712.9377658
173.41667,47.8794816,11.6922016,0.695,1090.5156358,-712.9377658
173.58333,47.8794816,11.6922168,0.695,1090.5157222,-712.9377658
173.75,47.8794784,11.6922408,0.694,1090.5158588,-712.9377929
173.91667,47.8794752,11.6922656,0.695,1090.5159999,-712.9378201
174.08333,47.8794752,11.6922664,0.696,1090.5160044,-712.9378201
174.25,47.8794752,11.6922616,0.696,1090.5159771,-712.9378201
174.41667,47.8794784,11.6922528,0.697,1090.515927,-712.9377929
174.58333,47.8794784,11.6922508,0.696,1090.5159157,-712.9377929
174.75,47.8794784,11.6922344,0.696,1090.5158224,-712.9377929
174.91667,47.8794784,11.6922232,0.695,1090.5157586,-712.9377929
175.08333,47.8794816,11.6922024,0.695,1090.5156403,-712.9377658
175.25,47.8794784,11.6922032,0.695,1090.5156449,-712.9377929
175.41667,47.879472,11.6922,0.695,1090.5156267,-712.9378472
175.58333,47.8794752,11.692198,0.695,1090.5156153,-712.9378201
175.75,47.8794752,11.6921952,0.695,1090.5155994,-712.9378201
175.91667,47.8794816,11.692192,0.693,1090.5155812,-712.9377658
176.08333,47.8794912,11.6921896,0.693,1090.5155675,-712.9376844
176.25,47.8794912,11.6921832,0.694,1090.5155311,-712.9376844
176.41667,47.8794912,11.692188,0.694,1090.5155584,-712.9376844
176.58333,47.8794944,11.6921824,0.695,1090.5155265,-712.9376572
176.75,47.8794912,11.69218,0.695,1090.5155129,-712.9376844
176.91667,47.8794912,11.6921816,0.694,1090.515522,-712.9376844
177.08333,47.8794912,11.6921784,0.694,1090.5155038,-712.9376844
