elapsed_min,battery_v,battery_min_v,battery_max_v,coral_fault
10.95,3.942,3.929,3.958,0
10.98333,3.9435,3.92,3.958,0
11.01667,3.939,3.916,3.961,0
11.05,3.942,3.923,3.958,0
11.08333,3.945,3.916,3.955,0
11.11667,3.9405,3.926,3.955,0
11.15,3.942,3.916,3.961,0
11.18333,3.945,3.878,3.958,0
11.21667,3.942,3.929,3.964,0
11.25,3.942,3.929,3.958,0
11.28333,3.942,3.929,3.952,0
11.31667,3.9435,3.929,3.958,0
11.35,3.942,3.878,3.955,0
11.38333,3.942,3.923,3.955,0
11.41667,3.9405,3.926,3.958,0
11.45,3.945,3.916,3.958,0
11.48333,3.942,3.916,3.955,0
11.51667,3.9465,3.884,3.955,0
11.55,3.942,3.891,3.958,0
11.58333,3.942,3.932,3.968,0
11.61667,3.942,3.929,3.955,0
11.65,3.942,3.926,3.955,0
11.68333,3.936,3.916,3.958,0
11.71667,3.945,3.904,3.958,0
11.75,3.942,3.904,3.958,0
11.78333,3.945,3.926,3.958,0
11.81667,3.945,3.929,3.955,0
11.85,3.942,3.929,3.952,0
11.88333,3.942,3.897,3.958,0
11.91667,3.942,3.932,3.952,0
11.95,3.942,3.92,3.968,0
11.98333,3.942,3.9,3.958,0
12.01667,3.942,3.923,3.958,0
12.05,3.942,3.875,3.958,0
12.08333,3.9435,3.926,3.958,0
12.11667,3.945,3.926,3.955,0
12.15,3.942,3.929,3.968,0
12.18333,3.942,3.929,3.948,0
12.21667,3.942,3.9,3.955,0
12.25,3.936,3.923,3.952,0
12.28333,3.939,3.926,4.016,0
12.31667,3.952,3.926,3.955,0
12.35,3.942,3.92,3.955,0
12.38333,3.942,3.891,3.955,0
12.41667,3.945,3.923,3.958,0
12.45,3.942,3.929,3.955,0
12.48333,3.942,3.936,3.955,0
12.51667,3.9405,3.926,3.955,0
12.55,3.936,3.891,3.964,0
12.58333,3.942,3.923,3.961,0
12.61667,3.945,3.932,3.971,0
12.65,3.942,3.929,3.955,0
12.68333,3.942,3.936,3.958,0
12.71667,3.942,3.929,3.958,0
12.75,3.939,3.894,3.961,0
12.78333,3.9435,3.929,3.955,0
12.81667,3.9405,3.916,3.955,0
12.85,3.939,3.916,3.961,0
12.88333,3.942,3.907,3.955,0
12.91667,3.942,3.9,3.955,0
12.95,3.942,3.929,3.961,0
