elapsed_min,fix_type,satellites
6.51667,0,0
6.55,0,0
6.58333,0,0
6.61667,0,0
6.65,0,0
6.68333,0,0
6.71667,0,0
6.75,0,0
6.78333,0,0
6.81667,0,0
6.85,0,0
6.88333,0,0
6.91667,0,0
6.95,0,0
6.98333,0,0
7.01667,0,0
7.05,0,0
7.08333,0,0
7.11667,0,0
7.15,0,0
7.18333,0,0
7.21667,0,0
7.25,0,0
7.28333,0,0
7.31667,0,0
7.35,0,0
7.38333,0,0
7.41667,0,0
7.45,0,0
7.48333,0,0
7.51667,0,0
7.55,0,0
7.58333,0,0
7.61667,0,0
7.65,0,0
7.68333,0,0
7.71667,0,0
7.75,0,0
7.78333,0,0
7.81667,0,0
7.85,0,0
7.88333,0,0
7.91667,0,0
7.95,0,0
7.98333,0,0
8.01667,0,0
8.05,0,0
8.08333,0,0
8.11667,0,0
8.15,0,0
8.18333,0,0
8.21667,0,0
8.25,0,0
8.28333,0,0
8.31667,0,0
8.35,0,0
8.38333,0,0
8.41667,0,0
8.45,0,0
8.48333,0,0
8.51667,0,0
8.55,0,0
8.58333,3,0
8.61667,3,5
8.65,3,5
8.68333,3,5
8.71667,3,5
8.75,3,5
8.78333,3,5
8.81667,3,5
8.85,3,5
8.88333,3,5
8.91667,3,5
8.95,3,5
8.98333,3,5
9.01667,3,5
9.05,3,5
9.08333,3,5
9.11667,3,5
9.15,3,5
9.18333,3,5
9.21667,3,5
9.25,3,5.5
9.28333,3,6
9.31667,3,6
9.35,3,6
9.38333,3,7
9.41667,3,7
9.45,3,7
9.48333,3,7
9.51667,3,7
9.55,3,7
9.58333,3,7
9.61667,3,7
9.65,3,7
9.68333,3,7
9.71667,3,7
9.75,3,7
9.78333,3,7
9.81667,3,7
9.85,3,7
9.88333,3,7
9.91667,3,7
9.95,3,7
9.98333,3,7
10.01667,3,8
10.05,3,8
10.08333,3,8
10.11667,3,8
10.15,3,8
10.18333,3,8
10.21667,3,8
10.25,3,8
10.28333,3,8
10.31667,3,8
10.35,3,8
10.38333,3,8
10.41667,3,8
10.45,3,8
10.48333,3,8
10.51667,3,8
10.55,3,8
10.58333,3,8
10.61667,3,8
10.65,3,7
10.68333,3,7
10.71667,3,7
10.75,3,7
10.78333,3,7.5
10.81667,3,8
10.85,3,8
10.88333,3,8
10.91667,3,8
10.95,3,8
10.98333,3,8
11.01667,3,7
11.05,3,7
11.08333,3,7
11.11667,3,7
11.15,3,8
11.18333,3,7
11.21667,3,4
11.25,3,5.5
11.28333,3,6.5
11.31667,3,7
11.35,3,7
11.38333,3,7
11.41667,3,7
11.45,3,6
11.48333,3,6
11.51667,3,8
11.55,3,8
11.58333,3,8
11.61667,3,8
11.65,3,7
11.68333,3,7.5
11.71667,3,8
11.75,3,8
11.78333,3,7
11.81667,3,8
11.85,3,8
11.88333,3,8
11.91667,3,8
11.95,3,8
11.98333,3,8
12.01667,3,8
12.05,3,8
12.08333,3,8
12.11667,3,8
12.15,3,8
12.18333,3,8
12.21667,3,8
12.25,3,8
12.28333,3,8
12.31667,3,8
12.35,3,8
12.38333,3,8
12.41667,3,8
12.45,3,8
12.48333,3,7
12.51667,3,7.5
12.55,3,8
12.58333,3,8
12.61667,3,8
12.65,3,8
12.68333,3,8
12.71667,3,7.5
12.75,3,7
12.78333,3,7.5
12.81667,3,8
12.85,3,8
12.88333,3,8
12.91667,3,8
12.95,3,8
12.98333,3,7
13.01667,3,8
13.05,3,8
13.08333,2,5
13.11667,3,5
13.15,3,7.5
13.18333,3,8
13.21667,3,8
13.25,3,8
13.28333,3,8
13.31667,3,8
13.35,3,8
13.38333,3,8
13.41667,3,8
13.45,3,8
13.48333,3,7
13.51667,3,8
13.55,3,8
13.58333,3,8
13.61667,3,8
13.65,3,8
13.68333,3,8
13.71667,3,8
13.75,3,8
13.78333,3,8
13.81667,3,8
13.85,3,8
13.88333,3,8
13.91667,3,8
13.95,3,8
13.98333,3,8
14.01667,3,6
14.05,3,7.5
14.08333,3,8
14.11667,3,8
14.15,3,8
14.18333,3,8
14.21667,3,8
14.25,3,8
14.28333,3,8
14.31667,3,8
14.35,3,8
14.38333,3,8
14.41667,3,8
14.45,3,8
14.48333,3,8
14.51667,3,8
14.55,3,8
14.58333,3,8
14.61667,3,8
14.65,3,8
14.68333,3,8
14.71667,3,8
14.75,3,7
14.78333,3,7
14.81667,3,8
14.85,3,8
14.88333,3,8
14.91667,3,8
14.95,3,8
14.98333,3,8
15.01667,3,8
15.05,3,8
15.08333,3,8
15.11667,3,8
15.15,3,8
15.18333,3,8
15.21667,3,8
15.25,3,7.5
15.28333,3,6
15.31667,3,6
15.35,3,8
15.38333,3,8
15.41667,3,7.5
15.45,3,7
15.48333,3,6.5
15.51667,3,7
15.55,3,5
15.58333,3,7
15.61667,3,8
15.65,3,8
15.68333,3,8
15.71667,3,8
15.75,3,8
15.78333,3,7
15.81667,3,8
15.85,3,8
15.88333,3,8
15.91667,3,7
15.95,3,7
15.98333,3,8
16.01667,3,8
16.05,3,8
16.08333,3,8
16.11667,3,8
16.15,3,8
16.18333,3,7
16.21667,3,7
16.25,3,7
16.28333,3,8
16.31667,3,8
16.35,3,8
16.38333,3,8
16.41667,3,8
16.45,3,8
16.48333,3,8
16.51667,3,8
16.55,3,8
16.58333,3,8
16.61667,3,8
16.65,3,8
16.68333,3,7
16.71667,3,7.5
16.75,3,7
16.78333,3,7
16.81667,3,7
16.85,3,7.5
16.88333,3,8
16.91667,3,8
16.95,3,8
16.98333,3,7.5
17.01667,3,8
17.05,3,8
17.08333,3,8
17.11667,3,8
17.15,3,8
17.18333,3,8
17.21667,3,7
17.25,3,8
17.28333,3,8
17.31667,3,7
17.35,3,7
17.38333,3,8
17.41667,3,8
17.45,3,8
17.48333,3,8
17.51667,3,8
17.55,3,8
17.58333,3,7.5
17.61667,3,7
17.65,3,7.5
17.68333,3,8
17.71667,3,8
17.75,3,8
17.78333,3,8
17.81667,3,8
17.85,3,8
17.88333,3,8
17.91667,3,8
17.95,3,8
17.98333,3,8
18.01667,3,8
18.05,3,8
18.08333,3,8
18.11667,3,8
18.15,3,8
18.18333,3,8
18.21667,3,8
18.25,3,8
18.28333,3,8
18.31667,3,8
18.35,3,8
18.38333,3,8
18.41667,3,8
18.45,3,8
18.48333,3,7.5
18.51667,3,8
18.55,3,8
18.58333,3,8
18.61667,3,8
18.65,3,8
18.68333,3,8
18.71667,3,8
18.75,3,8
18.78333,3,8
18.81667,3,8
18.85,3,8
18.88333,3,8
18.91667,3,8
18.95,3,7.5
18.98333,3,8
19.01667,3,8
19.05,3,7
19.08333,3,8
19.11667,3,8
19.15,3,8
19.18333,3,8
19.21667,3,8
19.25,3,7.5
19.28333,3,8
19.31667,3,8
19.35,3,8
19.38333,3,8
19.41667,3,8
19.45,3,8
19.48333,3,8
19.51667,3,8
19.55,3,8
19.58333,3,8
19.61667,3,8
19.65,3,8
19.68333,3,8
19.71667,3,7.5
19.75,3,8
19.78333,3,8
19.81667,3,8
19.85,3,8
19.88333,3,8
19.91667,3,8
19.95,3,7.5
19.98333,3,8
20.01667,3,8
20.05,3,8
20.08333,3,8
20.11667,3,8
20.15,3,8
20.18333,3,8
20.21667,3,8
20.25,3,8
20.28333,3,8
20.31667,3,8
20.35,3,8
20.38333,3,8
20.41667,3,8
20.45,3,8
20.48333,3,7.5
20.51667,3,7
20.55,3,7
20.58333,3,7
20.61667,3,7
20.65,3,7
20.68333,3,7
20.71667,3,7
20.75,3,7
20.78333,3,8
20.81667,3,8
20.85,3,7
20.88333,3,8
20.91667,3,8
20.95,3,7
20.98333,3,8
21.01667,3,8
21.05,3,8
21.08333,3,8
21.11667,3,8
21.15,3,8
21.18333,3,8
21.21667,3,8
21.25,3,8
21.28333,3,8
